,Year,GDP,CHE,CHN,ZAF,EXP,FDI,COP,DEBT,PRECIP
50,2010.0,1451.10616017155,76531.3729407691,4629.24551710077,7973.47195771517,7503512538.82554,8.53319643791576,7534.77958333333,22.8577652777151,1020.0
51,2011.0,1624.86817763443,90476.7589651577,5703.76027973346,8646.05571071635,9494352665.25398,4.72516156867912,8828.1875,23.3139842267552,1020.0
52,2012.0,1710.05061343728,85836.2076767359,6405.0574241349,8076.97678479741,10222369008.995,6.78938124085044,7962.34706281927,24.6574539542756,1020.0
53,2013.0,1820.71854827391,87304.3305813557,7147.03518622344,7331.65467384919,11350236220.4724,7.48932505567266,7332.10047748447,24.8009879997029,1020.0
54,2014.0,1707.48573136694,88724.9909402638,7781.06597484974,6856.73137092522,10536766856.2145,5.55542791808588,6863.3975,36.2953659204568,1020.0
55,2015.0,1295.87788680068,83806.4476003837,8175.33285077393,6112.27382485974,7892388633.94057,7.44741668984243,5510.45666666667,59.0750571840252,1020.0
56,2016.0,1239.08527877713,82153.0745447889,8254.86859320357,5651.20585165749,7403491271.28836,3.16251974813899,4867.8975,77.571432468707,1020.0
57,2017.0,1483.46577328065,82254.3769269767,8979.67652709856,6618.33508255701,9053912487.52298,4.28050117059574,6169.94,96.0061537858578,1020.0
58,2018.0,1463.89997855593,85217.3691512274,10085.6638148819,6914.1780318076,9987165258.55507,1.55231886738395,6529.79833333333,95.0251331352744,1020.0
59,2019.0,1258.98619844462,84121.9310304414,10342.9009524335,6533.71121032856,8073235065.94259,2.3509190433173,6010.145,128.346607422193,1020.0
60,2020.0,951.644316655957,85897.7843338323,10627.4637989619,5580.60383075189,8473997596.93761,1.35190577412928,6173.77083333333,167.518099257658,1020.0
61,2021.0,1127.16077872857,93664.7736696111,12887.4357242941,6828.75624590017,11537884956.0409,1.78407846118257,9317.05,133.551637288097,1020.0
62,2022.0,1447.12310138035,94394.5106803525,12970.6056414327,6534.24867783397,11722089926.1135,-0.223286755156161,8822.36583333333,103.673945530947,1020.0
63,2023.0,1330.72780576709,100623.549627296,12951.1782397043,6034.27208964673,11264526288.2707,2.32465335614826,8490.29083333333,110.675742084891,
64,2024.0,1187.10943350064,103998.186685604,13303.1481543868,6267.186814093,8851528097.90289,9.32437789659637,9142.14,114.201909487961,
65,2025.0,,,,,,,9947.305,,
